index,count,hate_speech,offensive_language,neither,class,tweet
33,3,0,3,0,1,ikiwa vidole havijafanywa wewe unanuka
34,3,0,3,0,1,im done with bitches caps its a wrap for that. if you a angry bird theres a app for that Nimefanya na kuumwa na machungu
35,3,0,3,0,1,huyo ni mtoto
36,3,0,3,0,1,sio kitu cha kukata kitita
37,3,0,3,0,1,jus meet son now he ya mane punda anauma #Shots
38,3,0,2,1,1,viwete wakilia juu ya majembe hiyo ni machozi ya mtu mcheshi
39,3,0,3,0,1,kama Snoop alisema katika 94 hatupendi majembe haya
40,3,0,1,2,2,momma alisema hakuna paka pussy ndani ya nyumba yangu ya mbwa
41,3,0,3,0,1,wanachukiwa zaidi lakini wapendwa majembe # 2MW #SevenOne # http://t.co/BMdSVMc3rC
42,3,0,3,0,1,"wasichana wazuri mbaya, nifanye niwe mbaya. Jembe mbaya la yello, mwili mzuri mzuri. Kifaranga kusini, kama nene kweli http://t.co/bzRDl3kF7U"
43,3,0,3,0,1,pimps up pimps up majembe chini Sauti ya baadaye
44,3,0,3,0,1,chapisha picha ya yule mkundu upate kupendwa 200
45,3,0,3,0,1,pussy ni dawa ya nguvu & # 128517; #HappyHumpDay http://t.co/R8jsymiB5b
46,3,0,3,0,1,kipande cha haraka cha pussy kiite gari kwa
47,3,0,3,0,1,kukimbia hapa kama kitu kipya cha pussy mpya ambayo inaweza kupigwa
48,3,0,3,0,1,hawa kidogo hata mbaya zaidi watawatumia wavulana kwako
49,3,1,2,0,1,majembe haya kama niggas ambayo hutumia pesa sio kuongea juu yake
50,3,1,2,0,1,hatuamini hizi niggas hizi zote
51,3,0,3,0,1,yall niggas b cuffing majembe husababisha yall aint kamwe kuwa na kuumwa
52,3,0,3,0,1,"unakwepa risasi & # 128517; & # 8220; @DaRealKha: ""Dawa zote nimezikata mjamzito au nimefungwa kuwa .... asante Mungu & # 128591;"" & # 8221;"
53,3,0,3,0,1,Kidonge Kidonge Chamberlain vibanzi hivi hupenda muziki wangu
54,3,0,2,1,1,& # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; labda safi kuliko hizi nyingi za majembe ya twitter lakini ......... 
55,3,0,3,0,1,& # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; kutenda kama kuumwa leo usiku 
56,3,0,3,0,1,& # 128514; & # 128514; & # 128514; @The_Paradox: Na ima kuiba paka wake n badala yake na pitbull & # 128514; & # 128514; & # 128514; mtoto unapaswa kufanya hivyo 
57,3,0,3,0,1,& amp; ameenda kuwa jembe daima
58,3,0,3,0,1," ""... Mwana wa kitoto alichukua Tic Tacs yangu."" """
59,3,0,3,0,1,"Ninapenda sinema hii. """
60,3,0,2,1,1,..Ninachotaka kufanya ni kupata pesa na kuteka viunzi vya mfano! - Russell Simmons
61,3,0,3,0,1,@ 2015probprobs: pengine sikuwa na akili ya shule ikiwa hatukuhitaji kushughulika na waalimu wa punda wa bitch. Retweet
62,3,0,3,0,1,@ A7XDemery: mimi ni fag fucking walisema
63,3,0,0,3,2,@ARIZZLEINDACUT: Wanawake wanadhani kuchumbiana na mtoto ni mzuri sasa? Http://t.co/VxBJg26Gsz ni kwa jinsi gani kufanya mambo haya kumfanya kuwa pussy?
64,3,0,3,0,1,@ Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF woof woof moto mkali scally kijana
65,3,0,3,0,1,@AdoreBellaaa: Je! Umewahi kumuuliza bitch yako kwa kuumwa zingine - sauti ya pamoja Ndio
66,3,0,1,2,2,@AdoreZoey: Umeendaje kumleta mtoto wako kwenye mchezo ambapo Unajua marafiki wa Ya gf?! & # 128553; & # 128553; & # 128553; & # 128553; NAAPA!!!!!
67,3,0,1,2,2,@AllAboutManFeet: http://t.co/3gzUpfuMev sufu na nyayo za moto
68,3,0,3,0,1,@Allyhaaaaa: Lemmie kula Oreo & amp; fanya sahani hizi. Oreo moja? Lol
69,3,1,2,0,1,@Alanticwayne__: @JetsAndASwisher @Gook____ bkuwasha kutomba http://t.co/pXmGA68NC1 labda utapata nafuu. http://t.co/TPreVwfq0S tu
70,3,0,0,3,2,@Alanticwayne__: Fuck Red Malone mtu bitch punda niggah unaweza tafadhali tumia sentensi kamili?
71,3,0,3,0,1,@ ArizonasFinest6: Kwa nini mbilingani emoji doe? Y anasema alionekana kama kupiga kelele lmao
72,3,0,3,0,1,@AutoWorId: Hennessey Venom GT & # 128584; http://t.co/i8eGMnKaJ9 huyo ni mtoto mmoja mzuri
73,3,0,3,0,1,@BOSSBYTCHH: Yeye seh mimi pussy wetter kisha pazia la kuoga .... # ahmesehwetness & lt; lmao !!
74,3,1,2,0,1,@ BRO_HEN314: #Kiangoni na kila #Mawe wanahitaji kuona picha hiyo niliyochapisha tu kwa sababu yule jamaa alisema tu jambazi zaidi
75,3,0,1,2,2," ""@BVSEDCHINK: Yo kuteleza juu ya skateboarding, kila mtu anasukuma kuni fagots mtu, mpira ni maisha http://t.co/VBCzP6HMT7"" """
76,3,0,3,0,1,"@AmJemieBenn """
77,3,1,2,0,1," ""@BabyAnimalPics: wakati wa kuoga nyani http://t.co/7KPWAdLF0R"" """
78,3,0,3,0,1,"Awwwwe! Hii ni soooo ADORABLE! """
79,3,1,2,0,1,@BaylaaGottaBody: & # 128514; & # 128514; & # 128514; & # 128514; mimi sio mjinga. Jamaa Skippy lol
80,9,0,7,2,1,@BeEasyJrizzy: unaweza kumuua chungu barabarani na ufikirie jamani ikiwa nigga huyo alikuwa njiani kupata pussy Hakuna bs lazima b & gt; nafasi 30%
81,3,0,3,0,1,@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u pete 0 0 mvps 0 bitches lol
82,3,0,3,0,1,"@BeenFLYnSolo: ppl huzungumza vibaya juu ya ghetto / hood ... lakini kama mtoto alikua, nigga alikuwa na funnnnnnn!"
83,3,1,2,0,1,@BestProAdvice: Ukweli juu ya tatoo ... tatoo http://t.co/ZwnbhpDZ8e yeye ni mkundu asiyejichora chuchu
84,3,0,3,0,1,@ Bill215_: & # 128175; & # 128175; & # 128175; RT @nel_ayden Bitches wanataka kutenda kama niggas mbaya sana & # 128553; & # 128553; ..
85,3,2,1,0,0,@ BitchJones92: Pata mtoto wa kuabudu! Http://t.co/R37CejCjou woof woof
87,3,0,3,0,1,@BlackChiquitita: Wow. RT @thatmanpalmer nimepotea. Je! Hizo ni kutoboa matako? Http://t.co/yn6guyOUQ6 ndio ni jembe
88,3,0,3,0,1,"@BlackNerdJade: Sawa, sis. Afadhali angekuwa bitch aliyevunjika? * shrugs * itabidi aniambie jinsi inavyomfanyia kazi"
89,3,0,3,0,1,@ Blackman38Tide: @WhaleLookyHere @ HowdyDowdy11 queer gaywad
90,3,3,0,0,0,@BrokenPiecesmsc: @ItsNotAdam fagot alisoma tweets zangu baada ya k k haikuwa hata lol ya kuchekesha
91,3,1,2,0,1,@BrosConfessions: Bitch huyu alikuwa hana shukrani sana http://t.co/06e77bGwbx fr ..... LULWHORE
92,6,1,5,0,1,@CASHandBOOBIES: Nimetekwa nyara yo bitch
93,3,1,2,0,1,@ CB_Baby24: @white_thunduh alsarabsss hes beaner smh unaweza kumwambia hes mexican
94,3,0,3,0,1,@CCobey: @AydanMcCoy furaha ya kuzaliwa nigs Thanks yo
95,3,1,2,0,1,@CHLLDHOODRUINER: wakati mwalimu wako anakuambia kuwa una kazi ya nyumbani https://t.co/RKk5vawIj1 huyu jamaa anahitaji kwenda !!!
96,3,0,3,0,1,"@ CaelanG15: @ 22EdHam: @ CaelanG15 hiyo nigga ilikuwa ikila hiyo jembe lol ""Kuzimu Ndio lol Paul Paul"" nigga alisema john paul .. http://t.co/OSIpBKPr9h"
97,3,0,3,0,1,@CanIFuckOrNah: Je! Watoto wote wenye nywele zenye upara watafanya nini ikiwa wataacha kutengeneza na kufuma?
98,3,0,3,0,1,@ CarelessOne92: Majani bora kushinda mchezo huu mbaya ili niweze kwenda kutuliza ghasia na kupiga # Krismasi ya Mwanzo bora uanze kupora nig yangu
99,3,0,3,0,1,@CauseWereGuys: Kurudi shule kunavuta Dick zaidi kuliko majembe wanaohudhuria.
100,3,1,2,0,1,@CauseWereGuys: Niko njiani kwenda kutomba bitch http://t.co/j906T5zE2R mimi kama umri wa miaka 9
101,3,0,3,0,1,@CeleyNichole: @white_thunduh imekuwaje usiniletee chakula sina gari
102,3,0,3,0,1,@ChadMFVerbeck: Ikiwa Richnow haionyeshi na majembe ya hella tinder si rafiki yake tena nilileta kama watu 8
103,3,0,3,0,1,@ChandlerParsons: Jinsi wanavyowapiga Cowboys !!!! Pussy ya kuzima
104,3,0,2,1,1,@Coley_Cee: @lil_aerii msichana unajua nilikuwa nikimtemea huyo G shit kwako & amp; ulikuwa unaenda lbvs bitch plz
105,3,0,3,0,1,"@Coley_Cee: Wacha nifanye tweets kadhaa kwenye ukurasa wa cuzzo, kwa hivyo sitaingia kwenye jela ya twitter. Lmao bitch usinidanganye tena"
106,3,0,3,0,1,@ComedyPosts: Harlem shake ni kisingizio cha kurudi nyuma kwa sekunde 30.
107,3,0,3,0,1,"@ComedyTruth: amen miley & # 128591; http://t.co/P2Kb2tfyxrokay, lakini haitaji kutenda kama jembe tu bc yeye"" ameharibiwa kihemko """
108,3,0,3,0,1,"@CoryBandz: kuwa na mwanamke mmoja mwaminifu ni bora zaidi kuliko kuwa na majembe, idc & # 128175;"
109,3,0,3,0,1," ""@Chedheds: Pussy analamba pussy .... meow meow # StopWhitePeople2014 & # 128049; https://t.co/KeegDCjS5K&#8221;"" """" """" """""
110,3,0,3,0,1,"& # 128533; """
111,3,3,0,0,0,@DBAB_Holloway: Angalia mtu wetu wa 12. # CowboysNation hata na mashabiki hao wote wa fagot ny kwenye stendi
112,3,0,3,0,1,@DGotBricks: Ni nini kitatokea kwao vixen ent bitches walikimbia na kutupa pembeni kama bitch ya kilima
113,3,0,3,0,1,@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat & # 128554; & # 128527; & # 128056; wow
114,3,1,2,0,1,"@DevilGrimz: @VigxRArts unamtapeli shoga, jembe lililoteuliwa Unashikilia #TehGodClan hata hivyo http://t.co/xUCcwoetmn"
115,3,0,3,0,1,@DiamondLoudKush: Mbwembwe inakuwa na makosa na viwiko hivi? Hakuna anayejua
116,3,0,0,3,2,@ Dietrich1892: Yall nyamaza: p nifanye bitch
117,3,0,3,0,1,"@DionaIrish: Ninachukia aina ya kitita Nina mjamzito ""."
118,3,0,3,0,1,@DoYou_Q: Umepata viwambo katika DM lakini siisomi ambayo ni bora kwako 3
119,3,0,0,3,2,@DomWorldPeace: Msimu wa baseball wa kushinda. # Yankees Hapa ndipo penzi lilianzia
120,3,0,1,2,2,@Dommoneek: Mjinga mdogo kama kitoto mimi sijambo na yoooooouuuu ..
121,3,0,0,3,2,"@DreadheadAri: aliniuliza kweli yule punda aliyekufa mbaya, kila ninachoweza kusema ni bitch wheet ""LOL"
122,3,0,3,0,1,"@DunderbaIl: Mimi ni ndege wa mapema na mimi ni bundi wa usiku, kwa hivyo nina busarae na kuwa na minyoo. "
123,3,0,0,3,2,@EdgarPstrong: Kupunguza matumizi ya dawa nzito haisikii mbaya usiku huu. Mimi hufanya pussy shit kila siku.
124,3,0,3,0,1," ""@ El_Grillo1: Bulls Shimo Amepigwa Picha Kama Viumbe Wa Hadithi Za Kupendeza http://t.co/Q0Sm89oOLh&#8221;"
125,3,0,0,3,2,"Hao ni viumbe wa hadithi za hadithi. """
126,3,0,3,0,1,"@Mzimu_Wenye Nguvu: @ 1stName_Bravo Aw. ... jamani, usinitumie ""aw"" kwangu lol"
127,3,0,3,0,1,"@ FloKid88: Kwa muda mrefu kama takataka za Lakers kuanzia sasa, ningeweza kuwa mzembe. Na hiyo ni kweli.. CC: @BENBALLER hahaha"
128,6,0,6,0,1,@Frosstyy_: @ h0rheyd sikusema chochote nikabusu kisha fagot
129,3,0,3,0,1,"@FunnyPicsDepot: hii ni mimi hucheza mpira wa miguu, hudanganya wasichana, na kuvaa nywele za rangi ya khaki ""kukata nywele http://t.co/ZUai7qWBIR"" & # 128514; ndio"
130,3,0,3,0,1,@ G27Status: Ningeweza kwenda kwa punda mnene wa mafuta kwenye paja langu sawa
131,3,0,3,0,1,@GEDMelle: simu 17 zilizokosekana !!!! & # 128544; & # 128545; Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle
132,3,0,3,0,1,@GTM_Al: Ya bitch wa upande anajua ni sheria kwa shiti hii .. mtu yeyote akuulize binamu yangu kutoka kwa jezi thinkin bout inayohamia lmmfao & # 128514; & # 128514; & # 128514; & # 128514;
133,3,0,3,0,1,@ GagaTom1: & # 8220; @MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221; kutomba ndio
134,6,0,6,0,1,@GirlThatsVonte: Majembe haya yanafikiria Nyama haitapiga makofi wanapiga & # 128564; & # 128075; ainna bruh
135,3,0,3,0,1,"@GirlThatsVonte: Yall bitches hakuna kingo zinazofanya mazungumzo & # 128553; & # 128564; & # 9995; ""& # 128514; & # 128514; & # 128514;"
136,3,0,3,0,1,@GirlThatsVonte: Je! Bado unaendelea kufanya ujanja au kutibu mwaka huu au nah? Kuzimu yeah ima kuwa jambazi jino tamu kuiba mifuko ya samaki n shit
137,3,0,3,0,1,@Girllssues: Ninataka kufanya mapenzi na mama yangu kumtia kulia kwenye pussy yangu ambayo nilitoka jamani umepigwa kama kutomba
138,6,0,6,0,1,@ Gizzy_Jones94: Ikiwa atakubusu na macho yake wazi angalia huyo jamaa! Lmfao
139,3,1,2,0,1,@Goofstroop: Wewe jogoo wa jembe wa punda & # 128563; & # 128586;
141,3,1,2,0,1,@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher preciate that bitch roll up!
142,3,0,1,2,2,@HBMostDope: @ 1Jayee @PipinHoes walizoea kumtuma yule mtoto
143,3,0,2,1,1,@HBMostDope: Vibaya vibaya kuwa kama mimi ni mtoto wangu wa WCW duh wewe sio mtu yeyote & # 128514; & # 128514;
144,3,0,3,0,1,"@HaloTGMG: @ 1stName_Bravo nigga unajua tuna ujanja majembe ya gunia. ... nah, situpi sura yoyote hupita lmao"
145,3,1,2,0,1,@HeartlessFuck: Nimefurahi kupata nje ya Atlanta. Hakuna kitu isipokuwa kundi la niggas katika & amp; outta jela & amp; kuumwa bubu na watoto wazimu fuckin em.
146,3,0,3,0,1,@HermosaAlma: Hii sio ghetto ..... ni smart https://t.co/MPAzQ3Jswf nafanya idc hii
147,3,0,3,0,1,@HiImJoriB: Ningekuwa mke wa jembe tu kwa sababu hatungejali kwamba tunadanganyana. ... kwanini ulazimishe uhusiano hapo kwanza?
148,3,0,3,0,1,@ HornyFacts: Kuwa peke yako sio kisingizio cha kuwa jembe. @TheOneMiss_Luu
149,3,0,2,1,1,@ HoskinsTy96: Kijana mweupe wa nguvu nguvu nyeusi nyeusi
150,3,0,3,0,1,"@ Hudgens_11: Wacha kulewa, kupulizwa, mate mate ya cheche na majembe ya kutomba! Vijana wazungu wazungu hawana baridi."
151,3,0,1,2,2,@IScoutGirls: @verbally_abrupt bitch ambapo ulikuwa Kote ulimwenguni na nyuma. Ulikuwa wapi?
152,3,0,3,0,1,@ItsYahBoiRay: @anelylove ikiwa sitanyonya dick yangu kwenye karamu na kitoto kibaya sijaenda kuiweka & # 128514; & # 128514; & # 128514; & # 128514; * by @anelylove *
153,6,0,6,0,1,@Itsyesie: #oomf ni mzuri sana. Lakini labda ana majembe juu yake.
154,4,0,4,0,1,@ JAYten9: Katika kila katuni yao kila mara a @ _nuffsaid15 akiokoa majembe haya lmao. Http://t.co/9uKD8wtZ6x lmao damn nahodha SaveAHoe
155,3,0,3,0,1,@JReebo: Nani anataka kufika kwenye pua kwenye hizi bois mbaya kisha #cally #chav #sockfetish #inking http://t.co/FeQxgN0W6I sox moto na miguu
156,3,0,3,0,1,@JamesyNBA: Natamani ningekuwa kijinga kama kaka yangu keezy & # 128530; ooooow mimi bet wewe kufanya
157,6,0,6,0,1,@JasminePore: Ikiwa umevaa kama paka kwa Halloween wewe ni msingi. ... au mkundu
158,3,0,3,0,1,@Jewelxo: Je! Pornhub inaweza tu kupata kipengee cha mkondo wa michezo ya kubahatisha ili vibano hawa bubu waweze gtfo @Pornhub afikie Katie & lt; 3
159,3,0,3,0,1,@JoeBudden: acha kuogopa kumsonga wakati wa ngono u bitch punda niggas. Atapenda.. Anasema mvulana anayewapiga wanawake kitandani. FOH
160,3,0,1,2,2,@ Johnny55Perez: @white_thunduh ha vizuri iguess mimi huwafanya majembe waaminifu kaka hawatawahi kuwa waaminifu kwamba wao wanalima nig yangu
161,3,0,2,1,1,"@KazAtta: @ 1TAKEHOV Oh mtu .. ni saa 5 asubuhi, ukiondoka kwa molly, ho wapi mbegu ya mbegu? """""
162,3,0,3,0,1,@KelsieBelsi: Wewe sio mwanaume ikiwa unamtaja kila msichana kama kitoto
163,3,0,3,0,1,@ KeyshawnSwag: Lmfao paka huyu alianza kunipiga shoti mimi nigga yangu mwishowe ilipata kitumbua?!? NIGGA YANGU !!!
164,3,0,3,0,1,@ KeyshawnSwag: Peel peel up let it back up rewind back where i am from they move Shaq from the line ooooow nani tf alisema takataka hiyo !!?
165,3,0,3,0,1,@KingCuh: @ 16stanleys io io alu rekodi ya mzabibu sa hahaha hahahaha lol anywaaaaaays ..... haha
166,3,0,0,3,2,@ KingHendo95: @VonDreaam naw ni mkanda wangu wa zamani. Kifuniko kipya. Mixtape yangu inayokuja ni #KingOfTheHill Ndio nasubiri jembe hilo Mayne!
167,3,0,2,1,1,@KingTeej_: Ol punda mguu mchafu anauma .. hii ilikuwa ya kuchekesha kwangu.
168,3,0,3,0,1,@ King_Shawn_6: @white_thunduh hapo ndipo ninapopata bendera zangu za manjano kwa kuwa ya kushangaza & # 128079; & # 128524; HELL YEAH NIGGY
169,3,0,3,0,1,@KissMySmilee: Usipate wakati wa kuumwa kuwa kitendo cha ifin.
170,3,0,3,0,1,@KnightfanNeal #UCFPINKPARTY njoo ukae hai knights taifa !!!! Hii bado ni maalum ya ndege wa mapema. #NjooNiende
171,3,0,3,0,1," ""@KyraNadiya_: Jembe hizi sio za uaminifu; hapana sio http://t.co/h1UBsVbkGl"" """
172,3,0,3,0,1,"Smfh & amp; jiulize kwanini hakuna mtu mzuri anayewataka """
173,6,0,6,0,1,"@LCisTJ: Bruh, ninyi studio mnaendelea kufikiria mimi 'm laini kama kuzimu. Muulize msichana ni mara ngapi alipiga kelele alikuwa bitch yangu. Sawa. STFU. BYE HOE!"
174,3,0,3,0,1,@LODYCASH: vidonda vikavu vya lawama kila wakati vinailaumu kondomu & # 128514; & # 128079; & # 128514; & # 128079; & # 128514;
175,3,0,3,0,1,@LUNAraps: funga mtoto mdogo! Https://t.co/IemN1u0gm5 & # 128557; & # 128514;
176,3,0,3,0,1,@LaFlareGodJosh: Gucci Mane akiwa jela na kuacha mixtapes kila mwezi na wewe majembe hauwezi hata kutuma ujumbe
177,3,0,3,0,1,@Latrobemark: Unapenda majembe haya zaidi basi pesa zinakosea hizi niggas
178,3,0,3,0,1,@LeBronVuitton: Bitch mwaminifu kutoka kwenye burbs bila maswala ya baba ni kama kupata holographic Mewtwo. ... nikisikika kama mimi huko lol
179,3,1,2,0,1,"@LiLFridayHOE: Cum rahisi, jembe rahisi Huo ni ukweli!"
180,3,0,3,0,1,@LifeAsBros: Charlie Sheen ni wa kweli sana http://t.co/gGGdK3kOV7 heshima kubwa ya kumsihi Charlie Sheen.
181,3,0,3,0,1," ""@Lightskingawdd: Natamani ningekuwa na bae & # 128533;"" """
182,3,0,0,3,2,"Una majembe yote """
183,3,0,0,3,2,@ Lil_Mike_12: Fuck twerking bitch unaweza kupika?
184,3,0,3,0,1,@Linniekravitz: @WesGodLaFlare bitch wtf http://t.co/DaSmycxODB
185,3,0,3,0,1,"@Lipe_the_Great: & # 8220; @ h0rheyd: @Lipe_the_Great: Nyamazisha zoe ""pigana nami pussy & # 8221; kwa zoe? Mimi ni mzuri, mtu."" Wewe ni mzuri bibi. Songa mbele sasa"
186,3,3,0,0,0,@LolaaIsDope: Lmao anang'ang'ania nyoka @ em
187,3,0,3,0,1,@Lableable_Aizah: Majembe makubwa ya ngawira kila mahali sheesh & # 128525; jamani & # 127807; & # 128064; & # 127807;
188,3,0,1,2,2,@MLBNetwork: Endelea kufuatilia @MLBNetwork kwa sasisho juu ya ripoti kwamba @Yankees 1B @ teixeiramark25 watatoka nje kwa wiki 8-10 @ dliming35 #bum
189,3,0,1,2,2,"@M_Rad: & # 8220; @DezDLT: Ninacheza mpira wa miguu, hudanganya wasichana, na kuvaa kargo zenye rangi ya khaki ""kukata nywele http://t.co/tYCIhD6PkW&#8221; ndio lmfao"" @ soccerboy_04"
190,3,0,1,2,2,@MadFlyentist: Oregon hulisonga kila mwaka kutoka kwenye programu ya takataka ya shamba RFT
191,3,0,3,0,1,"@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens alikuwa Eagle bora & amp; Cowboy aliyewahi ..jamaa alilia kama kitanda kwenye runinga, juu ya Romo"
192,3,0,0,3,2,@MarkRoundtreeJr: LMFAOOOO NINACHUKIA WATU weusi https://t.co/RNvD2nLCDR Hii ndio sababu kuna watu weusi na niggers
193,3,1,2,0,1,"@ Master11_: @ 20ToLife_ @GabrielaStarr Unawezaje kunifanyia hivi bibi """
194,3,0,3,0,1,@ MaxMayo77: http://t.co/3Jk4kR44X3 kijana aliyekasirika kupita nje. Napenda kulamba nyayo zake chafu wakati amelala.
195,3,0,3,0,1,@ MaxMayo77: http://t.co/PrrskknqRv mpende kijana mvulana w / nyayo laini ndefu
196,3,0,3,0,1,@ MaxMayo77: http://t.co/XpSC3makgJ kijana mzuri na nyayo za moto na matao.
197,3,0,3,0,1,@MegamindNick: @white_thunduh nah fam nimepata kudanganya na majembe inategemea mwanamke ninahisi
198,6,0,0,6,2,@Mesha_nojas: @_Vontethekidd & # 128079; & # 128079; & # 128079; & # 128079; & # 128588; Nilipata hicks lol
199,3,0,3,0,1,@Migsmichelen: Hii twitter mpya inachanganya ujinga kutoka kwangu. Rudi kwa bitch ya Amerika Kusini
200,3,0,3,0,1,@ Miikito_x3: Toto inamaanisha punda au uke? Nadhani pussy husababisha toto santi ni kama pussy mbaya
201,3,0,3,0,1,@MikelaHenry: lakini vipi ikiwa kweli atachagua kitambi kibaya juu yako? & # 58381; Punda wake lazima awe mnene!
202,3,1,2,0,1,@MileyCyrus: bitch hakuweza kuua vibe yangu ikiwa utajaribu. & # 127752; & # 127752; & # 127752; kwanini nampenda miley: *
203,3,0,2,1,1,"@Montrell_: Nimechoka na kuumwa nikisema ninaonekana mbaya .. & # 128530; nigga wewe kubwa af, vaa mashati ya kubana, na kila mtu mbaya."
204,3,2,1,0,0,"@MotherJones: ndege 10 wajukuu wako hawawezi kuona kamwe, kutokana na mabadiliko ya hali ya hewa http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm #Climate"
205,3,0,3,0,1,"@MvckFadden: Kaa mrembo wewe bwege """""
206,3,2,1,0,0," ""@NICKIMINAJ: #WutKinda"
207,3,0,1,2,2,"r zambarau. Ceeeleee """" mtu hii gurl ilikuwa jus playin kwenye wimbo wa """" jembe la kijinga """". Lakini bado imetengwa kwa jumla ya gurls """
208,6,0,5,1,1,@NastyCopper: Pesa inazidi kuwa ndefu na kung'ata kunapata ukungu
209,3,0,3,0,1,@NewsomeJade: Sijawahi kuona mtoto mdogo akijisumbua sana nigga & # 128514; Ninavutiwa na yangu & # 128529;
210,3,0,3,0,1,@ Nicholas_ted33: Kobe kaa kuongea takataka. Lakini tusisahau http://t.co/VH4tnEkvTP @ J_Austin12 nilikuwa na maana ya kufanya hii. Smh.
211,3,0,3,0,1," ""@NoChillPaz:"" ""Angalau mimi sio mjinga"" ""http://t.co/RGJa7CfoiT"" """
212,3,0,3,0,1,"Lmfao """
213,3,0,3,0,1,@No_FAKINGG: Watu huwa wananiuliza ni nini nimechanganywa na. Yeye ni mtoto mbaya wa asia lol
214,3,0,3,0,1,@ NotoriousBM95: @_WhitePonyJr_ Ariza ni nyoka na mwoga lakini angalau yeye sio vilema kama shujaa wako Roach lmaoo
